epoch,ssl_loss,lr
1,4.258313814798991,0.0002997040092642407
2,3.9093850453694663,0.0002988172051971717
3,3.796574068069458,0.0002973430876093033
4,3.687218189239502,0.00029528747416929463
5,3.6239795525868734,0.00029265847744427303
6,3.5560126940409345,0.0002894664728832377
7,3.5280213832855223,0.000285724057869903
8,3.4730889320373537,0.00028144600200657956
9,3.4547703425089518,0.0002766491888253023
10,3.4404701868693035,0.00027135254915624217
11,3.4210010210673016,0.0002655769864163684
12,3.3849308331807455,0.0002593452941132117
13,3.3759774208068847,0.0002526820658893033
14,3.3474321206410727,0.0002456135984623034
15,3.3495275656382244,0.00023816778784387096
16,3.3476821899414064,0.00023037401924684944
17,3.3258317788441976,0.00022226305111525726
18,3.290886116027832,0.00021386689373476087
19,3.296177275975545,0.00020521868290270169
20,3.282694705327352,0.00019635254915624208
21,3.2921408812204995,0.00018730348307472816
22,3.269973293940226,0.00017810719718785867
23,3.253265698750814,0.00016879998503464564
24,3.2564667224884034,0.000159418577929397
25,3.2609524885813395,0.00015
26,3.250716495513916,0.000140581422070603
27,3.2542840480804442,0.00013120001496535436
28,3.241611671447754,0.0001218928028121413
29,3.224781386057536,0.00011269651692527177
30,3.236076577504476,0.00010364745084375793
31,3.2185805956522624,9.478131709729836e-05
32,3.2166017055511475,8.61331062652391e-05
33,3.2117980480194093,7.773694888474269e-05
34,3.2172977129618325,6.962598075315047e-05
35,3.1959068298339846,6.183221215612905e-05
36,3.198445955912272,5.438640153769654e-05
37,3.194570779800415,4.73179341106967e-05
38,3.192622359593709,4.0654705886788306e-05
39,3.1986849466959635,3.4423013583631635e-05
40,3.1910404046376546,2.86474508437579e-05
41,3.190739806493123,2.3350811174697774e-05
42,3.1790332794189453,1.8553997993420465e-05
43,3.187746604283651,1.42759421300971e-05
44,3.1935258865356446,1.05335271167623e-05
45,3.1845401763916015,7.341522555726972e-06
46,3.18365740776062,4.712525830705356e-06
47,3.1797035376230878,2.656912390696692e-06
48,3.192609771092733,1.1827948028283352e-06
49,3.1806878884633383,2.9599073575926616e-07
50,3.1780873934427896,0.0
