epoch,lr,train_loss,train_accuracy,train_macro_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_f1,val_balanced_accuracy
1,0.001,1.9173313007881894,0.2663316582914573,0.24892635135809169,0.28799308333591295,1.7825338487893763,0.2676056338028169,0.2510084083135225,0.31703709893048126
2,0.001,1.7063189825220924,0.34673366834170855,0.3275994800091359,0.36740646207289035,1.7703938411435052,0.3145539906103286,0.29866762976166655,0.3446828447288006
3,0.001,1.680465879272576,0.36683417085427134,0.34084334839191904,0.3783560658974665,1.7508720769568789,0.40375586854460094,0.3528828094752425,0.37799973208980564
4,0.001,1.6338154194942072,0.3778894472361809,0.3692531439887635,0.41151892363148046,1.597238905552967,0.4272300469483568,0.37428930849465725,0.40979125551735845
5,0.001,1.620058617519973,0.38894472361809046,0.3739604689567892,0.4283177901703497,1.5662297469349535,0.45539906103286387,0.43468153936081233,0.47819250806383157
6,0.001,1.5981574343676543,0.392964824120603,0.38325334722935134,0.42374884556056935,1.544094271503144,0.38967136150234744,0.3821919380572648,0.436898263093116
7,0.001,1.5448420900795328,0.4030150753768844,0.3953010670566197,0.45220624232978057,1.5065211538977465,0.48826291079812206,0.46376573211617333,0.47920824579831933
8,0.001,1.5098878795777133,0.4381909547738693,0.41859577908817236,0.46548692281571896,1.606815235155849,0.38028169014084506,0.36113910253998993,0.4399364575375605
9,0.001,1.560456335125257,0.4100502512562814,0.39782992408626167,0.4351794575132931,1.4878168128465823,0.4460093896713615,0.42385279613703075,0.4669577869026399
10,0.001,1.495737561987872,0.4472361809045226,0.43458753694087215,0.48045995197960806,1.672869577654091,0.38028169014084506,0.3926774792989296,0.48611701309311606
11,0.0005,1.4768249437437584,0.4472361809045226,0.43719077176726207,0.482780485368636,1.450327370648093,0.49765258215962443,0.4523731610199512,0.5016337879848909
12,0.0005,1.4182786197518584,0.47738693467336685,0.4617598632234538,0.5041305895759508,1.4651257482492868,0.4788732394366197,0.463576962576395,0.48893424794160084
13,0.0005,1.3952902636935363,0.46934673366834173,0.45949517860507294,0.4982899820406509,1.4844328179046022,0.48826291079812206,0.4629042178222506,0.4906090845429081
